Model,Accuracy,Train Time (s),Prediction Time (s)
SVM (Linear),0.9899754956560481,0.4583876132965088,0.004004478454589844
Random Forest,0.9870795277344621,27.917049169540405,0.15831208229064941
Logistic Regression,0.9862998440632658,1.5333645343780518,0.0040204524993896484
Gradient Boosting,0.9753842726665182,804.9673273563385,0.04390978813171387
Naive Bayes (Multinomial),0.94998886166184,0.03117990493774414,0.008000612258911133
Decision Tree,0.9486522610826464,31.099827527999878,0.01899552345275879
K-Nearest Neighbors,0.90209400757407,0.022295713424682617,933.2698163986206
