Model,Accuracy,Train Time (s),Prediction Time (s)
Random Forest,0.9973267988416128,10.303555250167847,0.13262534141540527
Gradient Boosting,0.9959901982624193,327.7922668457031,0.027945995330810547
Decision Tree,0.9954332813544219,14.210303783416748,0.012259483337402344
SVM (Linear),0.9946535976832257,0.969658613204956,0.004823207855224609
Logistic Regression,0.9900868790376476,0.39498043060302734,0.0034155845642089844
Naive Bayes (Multinomial),0.9522165292938294,0.028097152709960938,0.006394624710083008
K-Nearest Neighbors,0.8944085542437068,0.025117874145507812,25.786114931106567
